ID,Genes
287,"CRYGC, CRYG3, CCL"
287,"CRYAA, CRYA1"
289,"GJA8, CX50, CAE1"
289,"GJA3, CX46, CZP3, CAE3"
291,"CCM1, CAM, KRIT1"
291,"CD59, MIC11"
292,CD8A
292,"RYR1, MHS, CCO"
292,"MYH7, CMH1, MPD1"
293,GDNF
294,BDNF
295,EDN3
296,"PMX2B, NBPHOX, PHOX2B"
296,"RET, MEN2A"
296,CP
296,"CACNA1A, CACNL1A4, SCA6"
296,"VLDLR, VLDLRCH"
296,"ABCA1, ABC1, HDLDT1, TGD"
298,CST3
299,"NOTCH3, CADASIL, CASIL"
300,"CCM1, CAM, KRIT1"
301,"C7orf22, CCM2, MGC4067"
301,"PDCD10, TFAR15, CCM3"
301,"SNAP29, CEDNIK"
301,"ERCC2, EM9"
301,"ERCC5, XPG"
301,"ERCC6, CKN2, COFS, CSB"
301,"CYP27A1, CYP27, CTX"
301,"SERPINA3, AACT, ACT"
301,"PPT1, CLN1"
301,CLN2
301,"CLN3, BTS"
301,CLN5
301,CLN6
301,"CLN8, EPMR"
301,"PPT1, CLN1"
301,"FGFR3, ACH"
301,CETP
301,"ABHD5, CGI58, IECN2, NCIE2"
301,"HSPB1, HSP27, CMT2F"
301,"MPZ, CMT1B, CMTDI3, CHM, DSS"
301,DNM2
301,"HOXD10, HOX4D"
301,"GDAP1, CMT4A, CMT2K, CMT2G"
301,"PMP22, CMT1A, CMT1E, DSS"
301,"MPZ, CMT1B, CMTDI3, CHM, DSS"
301,"LITAF, CMT1C"
301,"EGR2, KROX20"
302,"PMP22, CMT1A, CMT1E, DSS"
303,"NEFL, CMT2E, CMT1F"
304,"KIF1B, CMT2A, CMT2A1"
305,"MFN2, KIAA0214, CMT2A2"
306,"RAB7, CMT2B, PSN"
307,"GARS, SMAD1, CMT2D"
308,"NEFL, CMT2E, CMT1F"
309,"GDAP1, CMT4A, CMT2K, CMT2G"
310,"MPZ, CMT1B, CMTDI3, CHM, DSS"
310,"MPZ, CMT1B, CMTDI3, CHM, DSS"
310,"GDAP1, CMT4A, CMT2K, CMT2G"
310,"GDAP1, CMT4A, CMT2K, CMT2G"
310,"MTMR2, CMT4B1"
310,"SBF2, MTMR13, CMT4B2"
313,"SBF2, MTMR13, CMT4B2"
314,KIAA1985
315,"NDRG1, HMSNL, CMT4D"
315,"GJB1, CX32, CMTX1"
315,CHD7
316,"TFAP2B, CHAR"
316,"CHS1, LYST"
316,"SH3BP2, CRPM"
318,NSDHL
319,CHIT
320,"SLC26A3, DRA, CLD"
323,"ABCB4, PGY3, MDR3"
326,"ATP8B1, FIC1, BRIC, PFIC1"
327,"ABCB4, PGY3, MDR3"
327,"ATP8B1, FIC1, BRIC, PFIC1"
327,"ABCB11, BSEP, SPGP, PFIC2"
327,"ABCB4, PGY3, MDR3"
328,"HSD3B7, PFIC4"
329,LIPA
330,"ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD"
330,"GDF5, CDMP1"
331,"GNPAT, DHAPAT"
331,"EBP, CDPX2, CPXD, CPX"
332,"ARSE, CDPX1, CDPXR"
334,EXT1
334,CSMF
334,"EWSR1, EWS"
334,"TITF1, NKX2A, TTF1"
334,"VPS13A, CHAC"
335,"TITF1, NKX2A, TTF1"
335,"CHM, TCD"
335,"PSAP2, PROSAP2, KIAA1650"
336,CYBA
336,NCF1
336,NCF2
337,"CYBB, CGD"
338,"MBL2, MBL, MBP1"
339,"ATRX, XH2, XNP, MRXS3, SHS"
339,"LPL, LIPD"
340,"SARA2, SAR1B, CMRD"
341,"SARA2, SAR1B, CMRD"
342,"DNAI1, CILD1, ICS, PCD"
343,"DNAH5, HL1, PCD, CILD3"
344,"CIAS1, C1orf7, FCU, FCAS"
345,KRT18
345,KRT8
346,KRT18
346,KRT8
346,"CIRH1A, NAIC, TEX292, KIAA1988"
346,ASS
346,"SLC25A13, CTLN2"
346,"SLC25A13, CTLN2"
346,"HVEC, PVRL1, PVRR1, PRR1"
346,"MSX1, HOX7, HYD1, OFC5"
346,"TBX22, CPX"
346,"RUNX2, CBFA1, PEBP2A1, AML3"
346,"NDP, ND"
346,"ERCC8, CKN1, CSA"
346,"ERCC6, CKN2, COFS, CSB"
346,"CYP2D@, CYP2D, P450C2D"
346,"RPS6KA3, RSK2, MRX19"
346,COH1
346,"ABCB1, PGY1, MDR1"
346,"CIAS1, C1orf7, FCU, FCAS"
346,"CRLF1, CISS"
346,"PAX6, AN2, MGDA"
346,"SHH, HPE3, HLP3, SMMCI"
346,RAD54B
